step,rewards,m,rewards_scaled
43,0.7731889486312866,1.8797343956999648,0.4113288294346345
44,0.783216118812561,1.839966699966304,0.4256686378220347
45,0.7564799189567566,1.8,0.42026662164264256
46,0.7554696798324585,1.760033300033696,0.42923601491971486
47,0.7967236042022705,1.7202656043000355,0.46313987922025096
48,0.8060251474380493,1.6808919731013456,0.47952227765766825
49,0.6766101121902466,1.6420997438200768,0.41203959426741255
50,0.6459183692932129,1.6040650700770327,0.4026759146760759
51,0.6918614506721497,1.5669499100387272,0.44153386540291534
52,0.6428927779197693,1.5308995645309342,0.41994445149427606
53,0.6889964938163757,1.4960408301958201,0.46054658396334774
54,0.5995368361473083,1.4624807957999937,0.4099451000444453
55,0.5917071104049683,1.430306274191992,0.4136925923360262
56,0.6271616816520691,1.3995838310478117,0.44810583527714704
57,0.5797284245491028,1.370360346401572,0.42304816107048865
58,0.565869152545929,1.3426640271319061,0.42145253102125213
59,0.5763355493545532,1.3165057783062692,0.4377766955918941
60,0.5458942651748657,1.29188083809017,0.42255775384197136
61,0.5375450849533081,1.2687705837857208,0.4236739815872754
62,0.5657867193222046,1.2471444241336556,0.45366575704753315
63,0.6097251176834106,1.2269617038407805,0.49693899636376343
64,0.5407468676567078,1.2081735589807967,0.4475738304626336
65,0.5159810781478882,1.1907246752353882,0.4333336571242941
66,0.4529567658901215,1.1745549139129807,0.3856411995085993
67,0.5185085535049438,1.1596007825914962,0.44714401825960465
68,0.4120987057685852,1.1457967376237699,0.35966126646792795
69,0.468597799539566,1.1330763143902758,0.4135624349289527
70,0.4581192433834076,1.1213730880339896,0.40853418748134046
71,0.4670712947845459,1.1106214725493548,0.42054949082914456
72,0.5010339021682739,1.1007573696911943,0.45517197155703226
73,0.4295533299446106,1.09171868143819,0.3934652188773877
74,0.4758870601654053,1.0834457009254683,0.4392348040690063
75,0.416882187128067,1.0758813970841068,0.38747968712714653
76,0.4205471575260162,1.0689716079057379,0.39341284129138454
77,0.459148496389389,1.062665156474823,0.43207259934307185
78,0.4636781215667725,1.056913902836218,0.43870945431079755
79,0.4025703370571136,1.0516727435175208,0.38279050164468464
80,0.34328693151474,1.04689956920217,0.3279081791736288
81,0.4192326068878174,1.0425551897229854,0.4021203011796532
82,0.3892364203929901,1.0386032342682707,0.3747691202475598
83,0.4065054953098297,1.0350100334978087,0.3927551252194603
84,0.471548467874527,1.031744489174524,0.45703996757162474
85,0.4360524117946625,1.0287779359393465,0.4238547470368481
86,0.4663156569004059,1.0260839989943056,0.45446148400857556
87,0.4030652642250061,1.0236384507092369,0.39375744819446634
88,0.4095199704170227,1.0214190685242637,0.4009323724577545
89,0.4249771535396576,1.0194054959748389,0.4168872496937636
90,0.395501434803009,1.0175791082089491,0.3886689807332374
91,0.457234799861908,1.015922882987047,0.45006841318263496
92,0.4184400141239166,1.0144212778445565,0.41249136158994854
93,0.4300900995731354,1.013060113845056,0.4245454871781836
94,0.490323930978775,1.0118264661508511,0.4845929093395286
95,0.3985240459442139,1.0107085614788558,0.3943016425636077
96,0.4540534615516663,1.0096956823865346,0.4496933773931344
97,0.4095224738121033,1.0087780782391207,0.4059589345229904
98,0.432424932718277,1.0079468826400912,0.429015596125102
99,0.3881350457668304,1.0071940370575059,0.3853627319922961
100,0.4642811715602875,1.0065122203454338,0.4612772325813856
101,0.4390053749084473,1.0058947838390975,0.4364326984905316
102,0.4462819993495941,1.0053356916918614,0.44391341423336333
103,0.4756235182285309,1.0048294661195334,0.4733375505649744
104,0.470480352640152,1.0043711372208177,0.4684327687293086
105,0.4124027192592621,1.0039561970506157,0.41077760212129083
106,0.4199392199516296,1.0035805576340422,0.4184409679494422
107,0.4899813234806061,1.0032405126224797,0.48839866145336425
108,0.4553631246089935,1.0029327023079886,0.454031585131379
109,0.4489224851131439,1.002654081728279,0.4477341620545088
110,0.4940033853054047,1.002401891610779,0.49281968583636754
111,0.4657038152217865,1.0021736319206864,0.46469374207067843
112,0.4796778559684753,1.001967037794044,0.4787361638408248
